family_root,official_name,descriptor,expected_named,mapped,total_implementors,partial_missing_or_mismatched
com/corrodinggames/rts/game/units/custom/e/a,a,(Lcom/corrodinggames/rts/game/units/am;)D,getAmount,6,6,0
com/corrodinggames/rts/game/units/custom/e/a,a,(Lcom/corrodinggames/rts/game/units/am;D)V,setAmount,6,6,0
com/corrodinggames/rts/game/units/custom/e/a,b,(Lcom/corrodinggames/rts/game/units/am;D)V,addAmount,6,6,0
com/corrodinggames/rts/game/units/custom/e/a,a,(Z)Ljava/lang/String;,getDisplayPrefix,2,2,0
