section_context,key,owner_official,field_official,descriptor,field_named,value_type,confidence,note
[decal_name],yOffsetAbsolute,com/corrodinggames/rts/game/units/custom/b/d,X,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,yOffsetAbsolute,,confirmed,key yOffsetAbsolute
[decal_name],alwaysStartDirAtZero,com/corrodinggames/rts/game/units/custom/b/d,Y,Z,alwaysStartDirAtZero,,confirmed,key alwaysStartDirAtZero / typo alias alwayStartDirAtZero
[decal_name],alwaysStartHeightAtZero,com/corrodinggames/rts/game/units/custom/b/d,Z,Z,alwaysStartHeightAtZero,,confirmed,key alwaysStartHeightAtZero
[decal_name],dirOffset,com/corrodinggames/rts/game/units/custom/b/d,aa,F,dirOffset,,confirmed,key dirOffset
[decal_name],pivotOffset,com/corrodinggames/rts/game/units/custom/b/d,ab,F,pivotOffset,,confirmed,key pivotOffset
[decal_name],basePosition,com/corrodinggames/rts/game/units/custom/b/d,ac,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,basePosition,,confirmed,key basePosition
[decal_name],drawLineTo,com/corrodinggames/rts/game/units/custom/b/d,ad,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,drawLineTo,,confirmed,key drawLineTo
[decal_name],basePositionFromLegEnd,com/corrodinggames/rts/game/units/custom/b/d,ae,I,basePositionFromLegEnd,,confirmed,key basePositionFromLegEnd
[decal_name],basePositionFromTurret,com/corrodinggames/rts/game/units/custom/b/d,ag,I,basePositionFromTurret,,confirmed,key basePositionFromTurret
[decal_name],alpha,com/corrodinggames/rts/game/units/custom/b/d,ai,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,alpha,,confirmed,key alpha
[placementRule_NAME],anyRuleInGroup,com/corrodinggames/rts/game/units/custom/bg,b,Lcom/corrodinggames/rts/game/units/custom/g;,anyRuleInGroup,,confirmed,key anyRuleInGroup
[placementRule_NAME],searchTags,com/corrodinggames/rts/game/units/custom/bg,c,Lcom/corrodinggames/rts/game/units/custom/h;,searchTags,,confirmed,key searchTags
[placementRule_NAME],searchTeam,com/corrodinggames/rts/game/units/custom/bg,d,Lcom/corrodinggames/rts/game/q;,searchTeam,,confirmed,key searchTeam
[placementRule_NAME],searchDistance,com/corrodinggames/rts/game/units/custom/bg,e,F,searchDistance,,confirmed,key searchDistance
[placementRule_NAME],searchOffsetX,com/corrodinggames/rts/game/units/custom/bg,g,F,searchOffsetX,,confirmed,key searchOffsetX
[placementRule_NAME],searchOffsetY,com/corrodinggames/rts/game/units/custom/bg,h,F,searchOffsetY,,confirmed,key searchOffsetY
[placementRule_NAME],excludeIncompleteBuildings,com/corrodinggames/rts/game/units/custom/bg,i,Z,excludeIncompleteBuildings,,confirmed,key excludeIncompleteBuildings
[placementRule_NAME],excludeNonBuildings,com/corrodinggames/rts/game/units/custom/bg,j,Z,excludeNonBuildings,,confirmed,key excludeNonBuildings
[placementRule_NAME],minCount,com/corrodinggames/rts/game/units/custom/bg,k,I,minCount,,confirmed,key minCount
[placementRule_NAME],maxCount,com/corrodinggames/rts/game/units/custom/bg,l,I,maxCount,,confirmed,key maxCount
[placementRule_NAME],aiSuggestionOnly,com/corrodinggames/rts/game/units/custom/bg,m,Z,aiSuggestionOnly,,confirmed,key aiSuggestionOnly
[placementRule_NAME],blocksPlacement,com/corrodinggames/rts/game/units/custom/bg,n,Z,blocksPlacement,,confirmed,key blocksPlacement
[placementRule_NAME],cannotPlaceMessage,com/corrodinggames/rts/game/units/custom/bg,o,Lcom/corrodinggames/rts/game/units/custom/bb;,cannotPlaceMessage,,confirmed,key cannotPlaceMessage
[placementRule_NAME],checkEachTile,com/corrodinggames/rts/game/units/custom/bg,p,Z,checkEachTile,,confirmed,key checkEachTile
[animation_NAME],x,com/corrodinggames/rts/game/units/custom/b,f,F,x,,high,animation event key x
[animation_NAME],y,com/corrodinggames/rts/game/units/custom/b,g,F,y,,high,animation event key y
[animation_NAME],name,com/corrodinggames/rts/game/units/custom/b,e,Lcom/corrodinggames/rts/game/units/custom/z;,effectList,,high,animation event effect list
[animation_NAME],body_[time],com/corrodinggames/rts/game/units/custom/c,e,[Lcom/corrodinggames/rts/game/units/custom/a;,keyframes,,high,animation track keyframes
[animation_NAME],effect_[time],com/corrodinggames/rts/game/units/custom/c,f,Z,isEventTrack,,high,event track marker
[animation_NAME],KeyframeTimeScale,com/corrodinggames/rts/game/units/custom/c,a,Lcom/corrodinggames/rts/game/units/custom/d;,scaleKeyframeTimes,,high,method-level transform
[core],tags,com/corrodinggames/rts/game/units/custom/g,d,Lcom/corrodinggames/rts/game/units/custom/h;,emptyTagList,,medium-high,tag list parsing uses UnitTag.parseTagList
[placementRule_NAME],searchTags,com/corrodinggames/rts/game/units/custom/bg,c,Lcom/corrodinggames/rts/game/units/custom/h;,searchTags,,medium-high,placement search tags
[placementRule_NAME],cannotPlaceMessage,com/corrodinggames/rts/game/units/custom/bg,o,Lcom/corrodinggames/rts/game/units/custom/bb;,cannotPlaceMessage,,medium-high,LocalizedStringData
[core],displayText,com/corrodinggames/rts/game/units/custom/bb,b,[Lcom/corrodinggames/rts/game/units/custom/bc;,entries,,medium-high,localized string entries
[core],displayDescription,com/corrodinggames/rts/game/units/custom/bb,b,[Lcom/corrodinggames/rts/game/units/custom/bc;,entries,,medium-high,localized string entries
